Encapsulated Streptococcus pneumoniae serotype	ENA accession number
8	ERR774050
8	ERR774090
8	ERR774112
8	ERR774152
8	ERR774159
8	ERR774104
8	ERR774171
8	ERR774175
8	ERR774254
8	ERR774278
8	ERR774340
8	ERR774352
8	ERR774379
8	ERR774504
8	ERR774516
8	ERR774517
8	ERR774529
8	ERR774533
8	ERR774565
8	ERR913526
8	ERR1065422
8	ERR1065449
8	ERR1065821
8	ERR1065838
8	ERR1065923
8	ERR1066226
8	ERR1066298
8	ERR1066318
8	ERR1066330
8	ERR1066337
8	ERR1066338
8	ERR1066340
