BioSample Accession	Isolate Name
SAMN05222301	20155286
SAMN05222302	20155287
SAMN05222303	20155288
SAMN05222304	20155289
SAMN05222305	20155290
SAMN05222306	20155291
SAMN05222307	20155292
SAMN05222308	20155293
SAMN05222309	20155294
SAMN05222310	20155295
SAMN05222311	20155296
SAMN05222312	20155297
SAMN05222313	20155298
SAMN05222314	20155299
SAMN05222315	20155300
SAMN05222316	20155301
SAMN05222317	20155302
SAMN05222318	20155303
SAMN05222319	20155304
SAMN05222320	20155305
SAMN05222321	20155306
SAMN05222322	20155307
SAMN05222323	20155308
SAMN05222324	20155309
SAMN05222325	20155310
SAMN05222326	20155311
SAMN05222327	20155312
SAMN05222328	20155313
SAMN05222329	20155314
SAMN05222330	20155315
SAMN05222331	20155316
SAMN05222332	20155317
SAMN05222333	20155318
SAMN05222334	20155319
SAMN05222335	20155320
SAMN05222336	20155321
SAMN05222337	20155322
SAMN05222338	20155323
SAMN05222339	20155324
SAMN05222340	20155325
SAMN05222341	20155326
SAMN05222342	20155327
SAMN05222343	20155328
SAMN05222344	20155329
SAMN05222345	20155330
SAMN05222346	20155331
SAMN05222347	20155332
SAMN05222348	20155333
SAMN05222349	20155334
SAMN05222350	20155335
SAMN05222351	20155336
SAMN05222352	20155337
SAMN05222353	20155338
SAMN05222354	20155340
SAMN05222355	20155341
SAMN05222356	20155342
SAMN05222357	20155343
SAMN05222358	20155344
SAMN05222359	20155345
SAMN05222360	20155346
SAMN05222361	20155347
SAMN05222362	20155348
SAMN05222363	20155349
SAMN05222364	20155350
SAMN05222365	20155351
SAMN05222366	20155352
SAMN05222367	20155353
SAMN05222368	20155354
SAMN05222369	20155422
SAMN05222370	20155424
SAMN05222371	20155425
SAMN05222372	20155426
SAMN05222373	20155427
SAMN05222374	20155428
SAMN05222375	20155429
SAMN05222376	20155430
SAMN05222377	20155431
SAMN05222378	20155432
SAMN05222379	20155433
SAMN05222380	20155434
SAMN05222381	20155435
SAMN05222382	20155436
SAMN05222383	20155437
SAMN05222384	20155438
SAMN05222385	20155439
SAMN05222386	20155440
SAMN05222387	20155441
SAMN05222388	20155442
SAMN05222389	20155443
SAMN05222390	20155444
SAMN05222391	20155445
SAMN05222392	20155447
SAMN05222393	20155448
SAMN05222394	20155449
SAMN05222395	20155450
SAMN05222396	20155451
SAMN05222397	20155452
SAMN05222398	20155453
SAMN05222399	20155454
SAMN05222400	20155455
SAMN05222401	20155456
SAMN05222402	20155457
SAMN05222403	20155458
SAMN05222404	20155459
SAMN05222405	20155460
SAMN05222406	20155461
SAMN05222407	20155462
SAMN05222408	20155463
SAMN05222409	20155464
SAMN05222410	20155465
SAMN05222411	20155466
SAMN05222412	20155467
SAMN05222413	20155468
SAMN05222414	20155469
SAMN05222415	20155470
SAMN05222416	20155471
SAMN05222417	20155472
SAMN05222418	20155473
SAMN05222419	20155474
SAMN05222420	20155475
SAMN05222421	20155476
SAMN05222422	20155477
SAMN05222423	20155478
SAMN05222424	20155479
SAMN05222425	20155482
SAMN05222426	20155483
SAMN05222427	20155484
SAMN05222428	20155485
SAMN05222429	20155486
SAMN05222430	20155487
SAMN05222431	20155488
SAMN05222432	20155489
SAMN05222433	20155490
SAMN05222434	20155491
SAMN05222435	20155492
SAMN05222436	20155493
SAMN05222437	20155494
SAMN05222438	20155495
SAMN05222439	20155496
SAMN05222440	20155497
SAMN05222441	20155498
SAMN05222442	20155499
SAMN05222443	20155500
SAMN05222444	20155501
SAMN05222445	20155502
SAMN05222446	20155503
SAMN05222447	20155504
SAMN05222448	20155505
SAMN05222449	20155506
SAMN05222450	20155507
SAMN05222451	20155508
SAMN05222452	20155509
SAMN05222453	20155510
SAMN05222454	20155511
SAMN05222455	20155512
SAMN05222456	20155513
SAMN05222457	20155514
SAMN05222458	20155515
SAMN05222459	20155516
SAMN05222460	20155517
SAMN05222461	20155518
SAMN05222462	20155519
SAMN05222463	20155520
SAMN05222464	20155521
SAMN05222465	20155522
SAMN05222466	20155523
SAMN05222467	20155524
SAMN05222468	20155525
SAMN05222469	20155526
SAMN05222470	20155527
SAMN05222471	20155528
SAMN05222472	20155529
SAMN05222473	20155530
SAMN05222474	20155531
SAMN05222475	20155532
SAMN05222476	20155533
SAMN05222477	20155534
SAMN05222478	20155535
SAMN05222479	20155536
SAMN05222480	20155537
SAMN05222481	20155538
SAMN05222482	20155539
SAMN05222483	20155540
SAMN05222484	20155541
SAMN05222485	20155543
SAMN05222486	20155544
SAMN05222487	20155545
SAMN05222488	20155546
SAMN05222489	20155547
SAMN05222490	20155548
SAMN05222491	20155549
SAMN05222492	20155550
SAMN05222493	20155551
SAMN05222494	20155552
SAMN05222495	20155553
SAMN05222496	20155554
SAMN05222497	20155555
SAMN05222498	20155556
SAMN05222499	20155557
SAMN05222500	20155558
SAMN05222501	20155559
SAMN05222502	20155560
SAMN05222503	20155561
SAMN05222504	20155562
SAMN05222505	20155563
SAMN05222506	20155564
SAMN05222507	20155565
SAMN05222508	20155566
SAMN05222509	20155567
SAMN05222510	20155568
SAMN05222511	20155569
SAMN05222512	20155570
SAMN05222513	20155571
SAMN05222514	20155572
SAMN05222515	20155573
SAMN05222516	20155574
SAMN05222517	20155901
SAMN05222518	20155902
SAMN05222519	20155903
SAMN05222520	20155904
SAMN05222521	20155905
SAMN05222522	20155906
SAMN05222523	20155907
SAMN05222524	20155908
SAMN05222525	20155909
SAMN05222526	20155910
SAMN05222527	20155913
SAMN05222528	20155992
SAMN05222529	20155993
SAMN05222530	20155994
SAMN05222531	20155995
SAMN05222532	20155996
SAMN05222533	20155997
SAMN05222534	20155998
SAMN05222535	20155999
SAMN05222536	20156000
SAMN05222537	20156001
SAMN05222538	20156002
SAMN05222539	20156003
SAMN05222540	20156004
SAMN05222541	20156005
SAMN05222542	20156006
SAMN05222543	20156007
SAMN05222544	20156008
SAMN05222545	20156067
SAMN05222546	20156068
SAMN05222547	20156069
SAMN05222548	20156070
SAMN05222549	20156071
SAMN05222550	20156072
SAMN05222551	20156073
SAMN05222552	20156074
SAMN05222553	20156075
SAMN05222554	20156076
SAMN05222555	20156077
SAMN05222556	20156078
SAMN05222557	20156079
SAMN05222558	20156080
SAMN05222559	20156081
SAMN05222560	20156082
SAMN05222561	20156083
SAMN05222562	20156084
SAMN05222563	20156085
SAMN05222564	20156086
SAMN05222565	20156087
SAMN05222566	20156088
SAMN05222567	20156089
SAMN05222568	20156090
SAMN05222569	20156091
SAMN05222570	20156092
SAMN05222571	20156093
SAMN05222572	20156094
SAMN05222573	20156095
SAMN05222574	20156096
SAMN05222575	20156097
SAMN05222576	20156142
SAMN05222577	20156143
SAMN05222578	20156144
SAMN05222579	20156145
SAMN05222580	20156146
SAMN05222581	20156147
SAMN05222582	20156148
SAMN05222583	20156149
SAMN05222584	20156150
SAMN05222585	20156151
SAMN05222586	20156152
SAMN05222587	20156153
SAMN05222588	20156286
SAMN05222589	20156287
SAMN05222590	20156288
SAMN05222591	20156289
SAMN05222592	20156290
SAMN05222593	20156291
SAMN05222594	20156292
SAMN05222595	20156294
SAMN05222596	20156295
SAMN05222597	20156296
SAMN05222598	20156297
SAMN05222599	20156298
SAMN05222600	20156299
SAMN05222601	20156300
SAMN05222602	20156301
SAMN05222603	20156302
SAMN05222604	20156303
SAMN05222605	20156304
SAMN05222606	20156305
SAMN05222607	20156306
SAMN05222608	20156307
SAMN05222609	20156308
SAMN05222610	20156311
SAMN05222611	20156312
SAMN05222612	20156313
SAMN05222613	20156314
SAMN05222614	20156315
SAMN05222615	20156316
SAMN05222616	20156317
SAMN05222617	20156318
SAMN05222618	20156539
SAMN05222619	20156540
SAMN05222620	20156541
SAMN05222621	20156542
SAMN05222622	20156543
SAMN05222623	20156544
SAMN05222624	20156545
SAMN05222625	20156546
SAMN05222626	20156547
SAMN05222627	20156548
SAMN05222628	20156549
SAMN05222629	20156550
SAMN05222630	20156551
SAMN05222631	20156552
SAMN05222632	20156553
SAMN05222633	20156554
SAMN05222634	20156555
SAMN05222635	20156556
SAMN05222636	20156557
SAMN05222637	20156558
SAMN05222638	20156559
SAMN05222639	20156560
SAMN05222640	20156561
SAMN05222641	20156562
SAMN05222642	20156563
SAMN05222643	20156564
SAMN05222644	20156565
SAMN05222645	20156566
SAMN05222646	20156567
SAMN05222647	20156568
SAMN05222648	20156569
SAMN05222649	20156570
SAMN05222650	20156571
SAMN05222651	20156572
SAMN05222652	20156573
SAMN05222653	20156574
SAMN05222654	20156575
SAMN05222655	20156576
SAMN05222656	20156577
SAMN05222657	20156578
SAMN05222658	20156579
SAMN05222659	20156580
SAMN05222660	20156581
SAMN05222661	20156582
SAMN05222662	20156583
SAMN05222663	20156584
SAMN05222664	20156585
SAMN05222665	20156586
SAMN05222666	20156587
SAMN05222667	20156588
SAMN05222668	20156589
SAMN05222669	20156590
SAMN05222670	20156591
SAMN05222671	20156617
SAMN05222672	20156645
SAMN05222673	20156646
SAMN05222674	20156647
SAMN05222675	20156648
SAMN05222676	20156649
SAMN05222677	20156650
SAMN05222678	20156651
SAMN05222679	20156652
SAMN05222680	20156653
SAMN05222681	20156654
SAMN05222682	20156655
SAMN05222683	20156656
SAMN05222684	20156657
SAMN05222685	20156658
SAMN05222686	20156659
SAMN05222687	20156660
SAMN05222688	20156661
SAMN05222689	20156662
SAMN05222690	20156663
SAMN05222691	20156664
SAMN05222692	20156665
SAMN05222693	20156666
SAMN05222694	20156667
SAMN05222695	20156668
SAMN05222696	20156669
SAMN05222697	20156670
SAMN05222698	20156671
SAMN05222699	20156672
SAMN05222700	20156673
SAMN05222701	20156674
SAMN05222702	20156675
SAMN05222703	20156676
SAMN05222704	20156677
SAMN05222705	20156678
SAMN05222706	20156679
SAMN05222707	20156680
SAMN05222708	20156681
SAMN05222709	20156682
SAMN05222710	20156683
SAMN05222711	20156684
SAMN05222712	20156685
SAMN05222713	20156686
SAMN05222714	20156688
SAMN05222715	20156689
SAMN05222716	20156690
SAMN05222717	20156691
SAMN05222718	20156692
SAMN05222719	20156693
SAMN05222720	20156694
SAMN05222721	20156695
SAMN05222722	20156696
SAMN05222723	20156697
SAMN05222724	20156698
SAMN05222725	20156699
SAMN05222726	20156700
SAMN05222727	20156701
SAMN05222728	20156702
SAMN05222729	20156703
SAMN05222730	20156704
SAMN05222731	20156732
SAMN05222732	20156733
SAMN05222733	20156734
SAMN05222734	20156735
SAMN05222735	20156736
SAMN05222736	20156737
SAMN05222737	20156738
SAMN05222738	20156739
SAMN05222739	20156740
SAMN05222740	20156741
SAMN05222741	20156742
SAMN05222742	20156743
SAMN05222743	20156744
SAMN05222744	20156745
SAMN05222745	20156746
SAMN05222746	20156747
SAMN05222747	20156748
SAMN05222748	20156749
SAMN05222749	20156750
SAMN05222750	20156751
SAMN05222751	20156752
SAMN05222752	20156753
SAMN05222753	20156754
SAMN05222754	20156755
SAMN05222755	20156756
SAMN05222756	20156757
SAMN05222757	20156758
SAMN05222758	20156759
SAMN05222759	20156760
SAMN05222760	20156761
SAMN05222761	20156762
SAMN05222762	20156763
SAMN05222763	20156764
SAMN05222764	20156765
SAMN05222765	20156766
SAMN05222766	20156767
SAMN05222767	20156768
SAMN05222768	20156769
SAMN05222769	20156770
SAMN05222770	20156771
SAMN05222771	20156772
SAMN05222772	20156773
SAMN05222773	20156774
SAMN05222774	20156775
SAMN05222775	20156776
SAMN05222776	20156777
SAMN05222777	20160094
SAMN05222778	20160095
SAMN05222779	20160096
SAMN05222780	20160097
SAMN05222781	20160098
SAMN05222782	20160099
SAMN05222783	20160100
SAMN05222784	20160102
SAMN05222785	20160104
SAMN05222786	20160105
SAMN05222787	20160106
SAMN05222788	20160107
SAMN05222789	20160108
SAMN05222790	20160109
SAMN05222791	20160110
SAMN05222792	20160111
SAMN05222793	20160112
SAMN05222794	20160113
SAMN05222795	20160114
SAMN05222796	20160115
SAMN05222797	20160116
SAMN05222798	20160117
SAMN05222799	20160118
SAMN05222800	20160119
SAMN05222801	20160120
SAMN05222802	20160121
SAMN05222803	20160122
SAMN05222804	20160123
SAMN05222805	20160124
SAMN05222806	20160125
SAMN05222807	20160126
SAMN05222808	20160127
SAMN05222809	20160128
SAMN05222810	20160129
SAMN05222811	20160130
SAMN05222812	20160131
SAMN05222813	20160132
SAMN05222814	20160133
SAMN05222815	20160234
SAMN05222816	20160235
SAMN05222817	20160236
SAMN05222818	20160237
SAMN05222819	20160238
SAMN05222820	20160239
SAMN05222821	20160240
SAMN05222822	20160241
SAMN05222823	20160242
SAMN05222824	20160243
SAMN05222825	20160270
SAMN05222826	20160271
SAMN05222827	20160272
SAMN05222828	20160273
SAMN05222829	20160274
SAMN05222830	20160275
SAMN05222831	20160276
SAMN05222832	20160277
SAMN05222833	20160278
SAMN05222834	20160279
SAMN05222835	20160280
SAMN05222836	20160281
SAMN05222837	20160282
SAMN05222838	20160283
SAMN05222839	20160284
SAMN05222840	20160285
SAMN05222841	20160286
SAMN05222842	20160287
SAMN05222843	20160288
SAMN05222844	20160289
SAMN05222845	20160290
SAMN05222846	20160291
SAMN05222847	20160292
SAMN05222848	20160293
SAMN05222849	20160294
SAMN05222850	20160295
SAMN05222851	20160296
SAMN05222852	20160297
SAMN05222853	20160298
SAMN05222854	20160299
SAMN05222855	20160300
SAMN05222856	20160301
SAMN05222857	20160302
SAMN05222858	20160303
SAMN05222859	20160304
SAMN05222860	20160305
SAMN05222861	20160306
SAMN05222862	20160307
SAMN05222863	20160308
SAMN05222864	20160309
SAMN05222865	20160310
SAMN05222866	20160311
SAMN05222867	20160442
SAMN05222868	20160443
SAMN05222869	20160444
SAMN05222870	20160445
SAMN05222871	20160446
SAMN05222872	20160447
SAMN05222873	20160448
SAMN05222874	20160449
SAMN05222875	20160523
SAMN05222876	20160524
SAMN05222877	20160525
SAMN05222878	20160526
SAMN05222879	20160527
SAMN05222880	20160528
SAMN05222881	20160529
SAMN05222882	20160530
SAMN05222883	20160531
SAMN05222884	20160533
SAMN05222885	20160534
SAMN05222886	20160535
SAMN05222887	20160536
SAMN05222888	20160537
SAMN05222889	20160538
SAMN05222890	20160539
SAMN05222891	20160540
SAMN05222892	20160541
SAMN05222893	20160542
SAMN05222894	20160543
SAMN05222895	20160544
SAMN05222896	20160545
SAMN05222897	20160546
SAMN05222898	20160547
SAMN05222899	20160548
SAMN05222900	20160549
SAMN05222901	20160550
SAMN05222902	20160551
SAMN05222903	20160552
SAMN05222904	20160553
SAMN05222905	20160554
SAMN05222906	20160555
SAMN05222907	20160556
SAMN05222908	20160557
SAMN05222909	20160558
SAMN05222910	20160559
SAMN05222911	20160560
SAMN05222912	20160561
SAMN05222913	20160562
SAMN05222914	20160563
SAMN05222915	20160564
SAMN05222916	20160565
SAMN05222917	20160566
SAMN05222918	20160567
SAMN05222919	20160568
SAMN05222920	20160569
SAMN05222921	20160570
SAMN05222922	20160571
SAMN05222923	20160572
SAMN05222924	20160573
SAMN05222925	20160574
SAMN05222926	20160575
SAMN05222927	20160576
SAMN05222928	20160577
SAMN05222929	20160578
SAMN05222930	20160579
SAMN05222931	20160580
SAMN05222932	20160581
SAMN05222933	20160582
SAMN05222934	20160583
SAMN05222935	20160584
SAMN05222936	20160585
SAMN05222937	20160586
SAMN05222938	20160587
SAMN05222939	20160590
SAMN05222940	20160591
SAMN05222941	20160592
SAMN05222942	20160593
SAMN05222943	20160594
SAMN05222944	20160595
SAMN05222945	20160596
SAMN05222946	20160597
SAMN05222947	20160598
SAMN05222948	20160729
SAMN05222949	20160730
SAMN05222950	20160731
SAMN05222951	20160732
SAMN05222952	20160733
SAMN05222953	20160734
SAMN05222954	20160735
SAMN05222955	20160736
SAMN05222956	20160737
SAMN05222957	20160738
SAMN05222958	20160739
SAMN05222959	20160740
SAMN05222960	20160741
SAMN05222961	20160742
SAMN05222962	20160743
SAMN05222963	20160744
SAMN05222964	20160745
SAMN05222965	20160881
SAMN05222966	20160882
SAMN05222967	20160883
SAMN05222968	20160885
SAMN05222969	20160886
SAMN05222970	20160887
SAMN05222971	20160888
SAMN05222972	20160889
SAMN05222973	20160890
SAMN05222974	20160891
SAMN05222975	20160892
SAMN05222976	20160893
SAMN05222977	20160894
SAMN05222978	20160895
SAMN05222979	20160896
SAMN05222980	20160897
SAMN05222981	20160898
SAMN05222982	20160899
SAMN05222983	20160900
SAMN05222984	20160901
SAMN05222985	20160902
SAMN05222986	20160903
SAMN05222987	20160904
SAMN05222988	20160905
SAMN05222989	20160906
SAMN05222990	20160907
SAMN05222991	20160908
SAMN05222992	20160909
SAMN05222993	20160910
SAMN05222994	20160911
SAMN05222995	20160912
SAMN05222996	20160913
SAMN05222997	20160914
SAMN05222998	20160915
SAMN05222999	20160916
SAMN05223000	20160917
SAMN05223001	20160918
SAMN05223002	20160919
SAMN05223003	20160920
SAMN05223004	20160921
SAMN05223005	20160922
SAMN05223006	20160923
SAMN05223007	20160924
SAMN05223008	20160925
SAMN05223009	20160926
SAMN05223010	20161039
SAMN05223011	20161040
SAMN05223012	20161041
SAMN05223013	20161042
SAMN05223014	20161043
SAMN05223015	20161044
SAMN05223016	20161045
SAMN05223017	20161046
SAMN05223018	20161047
SAMN05223019	20161048
SAMN05223020	20161049
SAMN05223021	20161050
SAMN05223022	20161051
SAMN05223023	20161052
SAMN05223024	20161054
SAMN05223025	20161055
SAMN05223026	20161056
SAMN05223027	20161057
SAMN05223028	20161058
SAMN05223029	20161059
SAMN05223030	20161060
SAMN05223031	20161061
SAMN05223032	20161062
SAMN05223033	20161063
SAMN05223034	20161064
SAMN05223035	20161137
SAMN05223036	20161138
SAMN05223037	20161139
SAMN05223038	20161140
SAMN05223039	20161141
SAMN05223040	20161142
SAMN05223041	20161143
SAMN05223042	20161144
SAMN05223043	20161145
SAMN05223044	20161146
SAMN05223045	20161147
SAMN05223046	20161148
SAMN05223047	20161149
SAMN05223048	20161150
SAMN05223049	20161151
SAMN05223050	20161152
SAMN05223051	20161153
SAMN05223052	20161154
SAMN05223053	20161155
SAMN05223054	20161156
SAMN05223055	20161157
SAMN05223056	20161158
SAMN05223057	20161159
SAMN05223058	20161160
SAMN05223059	20161161
SAMN05223060	20161162
SAMN05223061	20161163
SAMN05223062	20161164
SAMN05223063	20161165
SAMN05223064	20161166
SAMN05223065	20161167
SAMN05223066	20161168
SAMN05223067	20161169
SAMN05223068	20161170
SAMN05223069	20161171
SAMN05223070	20161172
SAMN05223071	20161173
SAMN05223072	20161174
SAMN05223073	20161175
SAMN05223074	20161176
SAMN05223075	20161177
SAMN05223076	20161178
SAMN05223077	20161179
SAMN05223078	20161180
SAMN05223079	20161181
SAMN05223080	20161182
SAMN05223081	20161183
SAMN05223082	20161184
SAMN05223083	20161185
SAMN05223084	20161186
SAMN05223085	20161187
SAMN05223086	20161188
SAMN05223087	20161189
SAMN05223088	20161190
SAMN05223089	20161191
SAMN05223090	20161192
SAMN05223091	20161193
SAMN05223092	20161194
SAMN05223093	20161195
SAMN05223094	20161349
SAMN05223095	20161350
SAMN05223096	20161351
SAMN05223097	20161352
SAMN05223098	20161353
SAMN05223099	20161354
SAMN05223100	20161355
SAMN05223101	20161356
SAMN05223102	20161357
SAMN05223103	20161358
SAMN05223104	20161359
SAMN05223105	20161360
SAMN05223106	20161361
SAMN05223107	20161362
SAMN05223108	20161363
SAMN05223109	20161364
SAMN05223110	20161365
SAMN05223111	20161366
SAMN05223112	20161367
SAMN05223113	20161368
SAMN05223114	20161369
SAMN05223115	20161370
SAMN05223116	20161372
SAMN05223117	20161373
SAMN05223118	20161374
SAMN05223119	20161375
SAMN05223120	20161376
SAMN05223121	20161377
SAMN05223122	20161378
SAMN05223123	20161380
SAMN05223124	20161381
SAMN05223125	20161382
SAMN05223126	20161383
SAMN05223127	20161384
SAMN05223128	20161385
SAMN05223129	20161386
SAMN05223130	20161387
SAMN05223131	20161388
SAMN05223132	20161389
SAMN05223133	20161390
SAMN05223134	20161391
SAMN05223135	20161392
SAMN05223136	20161393
SAMN05223137	20161394
SAMN05223138	20161395
SAMN05223139	20161396
SAMN05223140	20161397
SAMN05223141	20161398
SAMN05223142	20161399
SAMN05223143	20161400
SAMN05223144	20161401
SAMN05223145	20161402
SAMN05223146	20161403
SAMN05223147	20161404
SAMN05223148	20161405
SAMN05223149	20161406
SAMN05223150	20161407
SAMN05223151	20161408
SAMN05223152	20161409
SAMN05223153	20161410
SAMN05223154	20161411
SAMN05223155	20161412
SAMN05223156	20161413
SAMN05223157	20161414
SAMN05223158	20161415
SAMN05223159	20161416
SAMN05223160	20161417
SAMN05223161	20161418
SAMN05223162	20161419
SAMN05223163	20161420
SAMN05223164	20161421
SAMN05223165	20161422
SAMN05223166	20161423
SAMN05223167	20161590
SAMN05223168	20161591
SAMN05223169	20161592
SAMN05223170	20161593
SAMN05223171	20161594
SAMN05223172	20161595
SAMN05223173	20161596
SAMN05223174	20161597
SAMN05223175	20161598
SAMN05223176	20161599
SAMN05223177	20161600
SAMN05223178	20161601
SAMN05223179	20161602
SAMN05223180	20161603
SAMN05223181	20161606
SAMN05223182	20161607
SAMN05223183	20161608
SAMN05223184	20161609
SAMN05223185	20161610
SAMN05223186	20161611
SAMN05223187	20161612
SAMN05223188	20161613
SAMN05223189	20161614
SAMN05223190	20161615
SAMN05223191	20161616
SAMN05223192	20161617
SAMN05223193	20161618
SAMN05223194	20161619
SAMN05223195	20161620
SAMN05223196	20161621
SAMN05223197	20161622
SAMN05223198	20161623
SAMN05223199	20161624
SAMN05223200	20161625
SAMN05223201	20161626
SAMN05223202	20161627
SAMN05223203	20161628
SAMN05223204	20161629
SAMN05223205	20161630
SAMN05223206	20161631
SAMN05223207	20161632
SAMN05223208	20161633
SAMN05223209	20161634
SAMN05223210	20161635
SAMN05223211	20161636
SAMN05223212	20161637
SAMN05223213	20161638
SAMN05223214	20161639
SAMN05223215	20161640
SAMN05223216	20161641
SAMN05223217	20161642
SAMN05223218	20161643
SAMN05223219	20161644
SAMN05223220	20161645
SAMN05223221	20161646
SAMN05223222	20161647
SAMN05223223	20161648
SAMN05223224	20161649
SAMN05223225	20161650
SAMN05223226	20161651
SAMN05223227	20161652
SAMN05223228	20161653
SAMN05223229	20161654
SAMN05223230	20161655
SAMN05223231	20161656
SAMN05223232	20161657
SAMN05223233	20161658
SAMN05223234	20161659
SAMN05223235	20161660
SAMN05223236	20161661
SAMN05223237	20161662
SAMN05223238	20161663
SAMN05223239	20161664
SAMN05223240	20161665
SAMN05223241	20161666
SAMN05223242	20161667
SAMN05223243	20161668
SAMN05223244	20161669
SAMN05223245	20161670
SAMN05223246	20161671
SAMN05223247	20161672
SAMN05223248	20161673
SAMN05223249	20161674
SAMN05223250	20161675
SAMN05223251	20161676
SAMN05223252	20161677
SAMN05223253	20161678
SAMN05223254	20161679
SAMN05223255	20161680
SAMN05223256	20161681
SAMN05223257	20161682
SAMN05223258	20161683
SAMN05223259	20161684
SAMN05223260	20161685
SAMN05223261	20161686
SAMN05223262	20161687
	
